lat,lng,name,pemaju_nama,hargaMin,hargaMax,permit_year,status_keseluruhan
3.158015,101.662884,RESIDENSI 18 TERUNTUNG,DAMANSARA PEAK SDN. BHD.,"6,578,000.00","9,933,000.00",2026,Lancar
3.121838,101.68469,RESIDENSI AETAS SEPUTEH,ARDENT RESIDENCE SDN. BHD.,"3,919,800.00","16,667,800.00",2027,Lancar
3.129095,101.708355,RESIDENSI AKASIA RAYA,UDA ACCORD DEVELOPMENT SDN. BHD.,"300,000.00","300,000.00",2027,Lancar
3.194867,101.663434,RESIDENSI ALAMANDA KEPONG,CEMERLANG POSITIF SDN. BHD.,"300,000.00","300,000.00",2027,Lancar
3.083676,101.698206,RESIDENSI AMBIEN,FAITHVIEW RESOURCES SDN. BHD.,"448,230.00","866,400.00",2026,Lancar
3.231983,101.664736,RESIDENSI AMIRA,CHERAS HONG SOON LAND  SDN. BHD.,"487,300.00","668,200.00",2027,Lancar
3.059382,101.649388,RESIDENSI ANDALAN,BKSP AUTOWORLD SDN. BHD.,"300,000.00","300,000.00",2027,Lancar
3.065598,101.680076,RESIDENSI ARAS,WCT OUG DEVELOPMENT SDN. BHD.,"745,920.00","1,152,480.00",2028,Lancar
3.123102,101.708992,RESIDENSI ARIS,ARICIA SDN. BHD.,"530,000.00","1,396,000.00",2028,Lancar
3.210875,101.644721,RESIDENSI ARMANI KEPONG,MAGNA PARK SDN. BHD.,"603,200.00","882,400.00",2027,Lancar
3.169132,101.444519,RESIDENSI ARMANI KG BARU 1,GOLDEN ARMANI SDN. BHD.,"448,400.00","855,000.00",2027,Lancar
3.167889,101.712301,RESIDENSI ARMANI RAJA UDA,ARMANI DEVELOPMENT SDN. BHD.,"700,000.00","1,500,000.00",2026,Siap Dengan CCC
3.06391,101.70075,RESIDENSI ASA,AK SP SDN. BHD.,"1,240,000.00","3,844,000.00",2027,Lancar
3.068411,101.685634,RESIDENSI AURUM,AMBER HOMES SRI PETALING SDN. BHD.,"729,500.00","899,500.00",2026,Lancar
3.19347,101.71824,RESIDENSI AWANI 6,AQUA LEGACY SDN. BHD.,"300,000.00","300,000.00",2028,Lancar
3.123636,101.680254,RESIDENSI AWANI PRIMA,ASPIRASI CEKAP SDN. BHD.,"390,000.00","390,000.00",2028,Lancar
3.05892,101.6503,RESIDENSI AYANNA,BKSP AUTOWORLD SDN. BHD.,"774,000.00","1,018,000.00",2026,Lancar
3.05892,101.6503,RESIDENSI AYANNA,BKSP AUTOWORLD SDN. BHD.,"806,000.00","1,631,000.00",2026,Lancar
3.216543,101.669362,RESIDENSI BARON,LAKE CITY DEVELOPMENT SDN. BHD.,"346,666.00","1,605,068.00",2026,Siap Dengan CCC
3.197406,101.707108,RESIDENSI BERLIAN SETAPAK 2,MONISPRINGS DEVELOPMENT SDN. BHD.,"265,000.00","1,749,000.00",2026,Siap Dengan CCC
3.19384,101.677766,RESIDENSI BUKIT BAMBOO,CONCORD HOUSING DEVELOPMENT SDN. BHD.,"543,400.00","1,293,000.00",2027,Lancar
3.193867,101.678377,RESIDENSI BUKIT BAMBOO,CONCORD HOUSING DEVELOPMENT SDN. BHD.,"486,000.00","1,135,000.00",2027,Lancar
3.1314,101.68124,RESIDENSI BUKIT PERSEKUTUAN 1,SETIA MF SFH DEVELOPMENT  SDN. BHD.,"772,000.00","2,317,000.00",2027,Lancar
3.127343,101.722316,RESIDENSI CAKERAWALA (THE SKIES),WARISAN TRADISI SDN. BHD.,"588,000.00","1,001,000.00",2028,Lancar
3.148895,101.70637,RESIDENSI CEYLON,GBD DEVELOPMENT SDN. BHD.,"1,026,300.00","6,237,000.00",2026,Sakit
3.07722,101.745037,RESIDENSI CONNAUGHT 1,UEM LAND BERHAD,"419,860.00","1,007,360.00",2026,Lancar
3.192006,101.714919,RESIDENSI CURVO,CURVO DEVELOPMENT SDN. BHD.,"564,000.00","1,414,000.00",2026,Lancar
3.100847,101.685687,RESIDENSI DANAU DESA,AXIS MILESTONE SDN BHD,"438,000.00","915,000.00",2026,Lancar
3.10073,101.69986,RESIDENSI DESA TIMUR,FITRAH RESOURCES SDN. BHD.,"300,000.00","318,000.00",2026,Lancar
3.10075,101.70029,RESIDENSI DESA TIMUR,FITRAH RESOURCES SDN. BHD.,"498,000.00","1,562,000.00",2026,Lewat
3.22555,101.73239,RESIDENSI DIAN,SIME DARBY PROPERTY (KL EAST) SDN. BHD.,"1,089,050.00","1,988,350.00",2027,Lancar
3.157199,101.674417,RESIDENSI EDEN,BRDB DEVELOPMENTS SDN. BHD.,"8,914,278.35","32,989,587.63",2028,Belum Mula
3.115997,101.680298,RESIDENSI ESTETIK 8 (EST8),TITIAN SAMA SDN. BHD.,"569,000.00","1,946,400.00",2026,Lancar
3.092695,101.674246,RESIDENSI GEN BINTANG,MAJESTIC GEN  SDN. BHD.,"593,000.00","1,001,000.00",2027,Lancar
3.091459,101.698508,RESIDENSI HANA,NATURAL DOMAIN SDN. BHD.,"571,200.00","752,400.00",2027,Lancar
3.20245,101.726134,RESIDENSI J SATIN,JAYYID LAND SDN. BHD.,"300,000.00","318,000.00",2026,Lancar
3.20242,101.72604,RESIDENSI J.SATIN,JAYYID LAND SDN. BHD.,"300,000.00","318,000.00",2026,Lancar
3.11281,101.67493,RESIDENSI KERINCHI RIA,KUMPULAN GAPADU SDN. BHD.,"300,000.00","318,000.00",2028,Lancar
3.174342,101.650297,RESIDENSI KIARA,LAND MARKER SDN. BHD.,"1,628,000.00","5,531,900.00",2026,Lancar
3.089778,101.747516,RESIDENSI LAMAN SEGAR HIJAU (LSH SEGAR),ASTANA SETIA SDN. BHD.,"300,000.00","2,500,000.00",2026,Lancar
3.228463,101.669636,RESIDENSI LEGENDA 99,INTER SKY DEVELOPMENT SDN. BHD.,"597,056.00","5,112,359.00",2026,Lancar
3.130401,101.679514,RESIDENSI LENTERA BANGSAR,BANGSAR RISING SDN. BHD.,"824,000.00","1,596,000.00",2026,Lancar
3.16719,101.711039,RESIDENSI LOFTHILL,LOFTHILL DEVELOPMENT SDN. BHD.,"865,000.00","2,875,500.00",2027,Lancar
3.203113,101.690655,RESIDENSI M ARISA PELANGI,COSMOWEALTH HOUSING DEVELOPMENT SDN. BHD.,"315,000.00","919,000.00",2026,Siap Dengan CCC
3.099989,101.693786,RESIDENSI M ASPIRA,MAH SING PROPERTIES SDN. BHD.,"624,960.00","983,760.00",2027,Lancar
3.198471,101.724616,RESIDENSI M ASTRA,NOVA CENTURY DEVELOPMENT SDN. BHD.,"552,960.00","737,760.00",2026,Lancar
3.186907,101.734,RESIDENSI M AZURA,M AZURA  SDN. BHD.,"534,960.00","800,160.00",2027,Lancar
3.232859,101.661671,RESIDENSI M NOVA,MYVILLA DEVELOPMENT SDN. BHD.,"466,560.00","722,160.00",2026,Lancar
3.232862,101.661669,RESIDENSI M NOVA,MYVILLA DEVELOPMENT SDN. BHD.,"519,360.00","737,760.00",2027,Lancar
3.219825,101.646476,RESIDENSI M ZENYA,M ZENYA  SDN. BHD.,"598,560.00","849,360.00",2027,Lancar
3.160849,101.699037,RESIDENSI MAJESTIC,MAJESTIC LUXE SDN. BHD.,"675,800.00","1,194,000.00",2026,Siap Dengan CCC
3.204009,101.71347,RESIDENSI MAX II,PROMINENT MAXIM SDN. BHD.,"300,000.00","318,000.00",2026,Lancar
3.073055,101.74133,RESIDENSI MAXIM RISEN,BUILTAMONT DEVELOPMENT SDN. BHD.,"321,000.00","513,000.00",2026,Lancar
3.144156,101.664008,RESIDENSI MENERUNG 111,BRDB DEVELOPMENTS SDN. BHD.,"2,255,150.00","7,325,500.00",2026,Lewat
3.219569,101.646967,RESIDENSI METROPOLITAN KEPONG,M ZENYA  SDN. BHD.,"200,000.00","318,000.00",2028,Belum Mula
3.201919,101.703535,RESIDENSI MH PLATINUM 3,MHP3 SDN. BHD.,"414,700.00","638,550.00",2026,Lancar
3.190656,101.736352,RESIDENSI MILLA,BEVERLY WM SDN. BHD.,"549,260.00","1,040,450.00",2026,Lancar
3.169198,101.644499,RESIDENSI MINH MONT'KIARA,LASER TOWER SDN. BHD.,"1,609,770.00","3,178,370.00",2026,Lancar
3.110935,101.730784,RESIDENSI NEKSUS TAMAN PERTAMA,MKH DEVELOPMENT SDN. BHD.,"519,000.00","987,000.00",2026,Sakit
